issue_width,rob_size,l1d_mshrs,l1d_size,l1d_assoc,has_l2,l2_size,ipc,config_id,cost,is_feasible
2,64,2,64kB,2,True,512kB,0.880482,99,783.6,True
2,64,2,64kB,2,True,1MB,0.880482,100,1295.6,True
2,64,2,64kB,2,True,2MB,0.880482,101,2319.6,False
2,64,2,64kB,4,True,512kB,0.880482,102,785.2,True
2,64,2,64kB,4,True,1MB,0.880482,103,1297.2,True
2,64,2,64kB,4,True,2MB,0.880482,104,2321.2,False
2,64,2,64kB,8,True,512kB,0.880482,105,788.4,True
2,64,2,64kB,8,True,1MB,0.880482,106,1300.4,True
2,64,2,64kB,8,True,2MB,0.880482,107,2324.4,False
2,64,4,16kB,2,True,512kB,0.880453,108,744.4,True
2,64,4,16kB,2,True,1MB,0.880453,109,1256.4,True
2,64,4,16kB,2,True,2MB,0.880453,110,2280.4,False
2,64,4,16kB,4,True,512kB,0.880501,111,744.8,True
2,64,4,16kB,4,True,1MB,0.880501,112,1256.8,True
2,64,4,16kB,4,True,2MB,0.880501,113,2280.8,False
2,64,4,16kB,8,True,512kB,0.880501,114,745.6,True
2,64,4,16kB,8,True,1MB,0.880501,115,1257.6,True
2,64,4,16kB,8,True,2MB,0.880501,116,2281.6,False
2,64,4,32kB,2,True,512kB,0.880501,117,760.8,True
2,64,4,32kB,2,True,1MB,0.880501,118,1272.8,True
2,64,4,32kB,2,True,2MB,0.880501,119,2296.8,False
2,64,4,32kB,4,True,512kB,0.8805,120,761.6,True
2,64,4,32kB,4,True,1MB,0.8805,121,1273.6,True
2,64,4,32kB,4,True,2MB,0.8805,122,2297.6,False
2,64,4,32kB,8,True,512kB,0.880501,123,763.2,True
2,64,4,32kB,8,True,1MB,0.880501,124,1275.2,True
2,64,4,32kB,8,True,2MB,0.880501,125,2299.2,False
2,64,4,64kB,2,True,512kB,0.880558,126,793.6,True
2,64,4,64kB,2,True,1MB,0.880558,127,1305.6,True
2,64,4,64kB,2,True,2MB,0.880558,128,2329.6,False
2,64,4,64kB,4,True,512kB,0.880558,129,795.2,True
2,64,4,64kB,4,True,1MB,0.880558,130,1307.2,True
2,64,4,64kB,4,True,2MB,0.880558,131,2331.2,False
2,64,4,64kB,8,True,512kB,0.880558,132,798.4,True
2,64,4,64kB,8,True,1MB,0.880558,133,1310.4,True
2,64,4,64kB,8,True,2MB,0.880558,134,2334.4,False
2,64,8,16kB,2,True,512kB,0.880453,135,764.4,True
2,64,8,16kB,2,True,1MB,0.880453,136,1276.4,True
2,64,8,16kB,2,True,2MB,0.880453,137,2300.4,False
2,64,8,16kB,4,True,512kB,0.880501,138,764.8,True
2,64,8,16kB,4,True,1MB,0.880501,139,1276.8,True
2,64,8,16kB,4,True,2MB,0.880501,140,2300.8,False
2,64,8,16kB,8,True,512kB,0.880501,141,765.6,True
2,64,8,16kB,8,True,1MB,0.880501,142,1277.6,True
2,64,8,16kB,8,True,2MB,0.880501,143,2301.6,False
2,64,8,32kB,2,True,512kB,0.880501,144,780.8,True
