issue_width,rob_size,l1d_mshrs,l1d_size,l1d_assoc,has_l2,l2_size,ipc,config_id,cost,is_feasible
2,64,8,64kB,2,True,512kB,0.573542,153,813.6,True
2,64,8,64kB,2,True,1MB,0.592156,154,1325.6,True
2,64,8,64kB,2,True,2MB,0.631168,155,2349.6,False
2,64,8,64kB,4,True,512kB,0.574678,156,815.2,True
2,64,8,64kB,4,True,1MB,0.592076,157,1327.2,True
2,64,8,64kB,4,True,2MB,0.631168,158,2351.2,False
2,64,8,64kB,8,True,512kB,0.573557,159,818.4,True
2,64,8,64kB,8,True,1MB,0.591691,160,1330.4,True
2,64,8,64kB,8,True,2MB,0.631168,161,2354.4,False
2,128,2,16kB,2,True,512kB,0.528048,162,830.4,True
2,128,2,16kB,2,True,1MB,0.57509,163,1342.4,True
2,128,2,16kB,2,True,2MB,0.627299,164,2366.4,False
2,128,2,16kB,4,True,512kB,0.527908,165,830.8,True
2,128,2,16kB,4,True,1MB,0.574877,166,1342.8,True
2,128,2,16kB,4,True,2MB,0.627297,167,2366.8,False
2,128,2,16kB,8,True,512kB,0.527728,168,831.6,True
2,128,2,16kB,8,True,1MB,0.574738,169,1343.6,True
2,128,2,16kB,8,True,2MB,0.627299,170,2367.6,False
2,128,2,32kB,2,True,512kB,0.529298,171,846.8,True
2,128,2,32kB,2,True,1MB,0.577282,172,1358.8,True
2,128,2,32kB,2,True,2MB,0.627299,173,2382.8,False
2,128,2,32kB,4,True,512kB,0.528945,174,847.6,True
2,128,2,32kB,4,True,1MB,0.576384,175,1359.6,True
2,128,2,32kB,4,True,2MB,0.627325,176,2383.6,False
2,128,2,32kB,8,True,512kB,0.528284,177,849.2,True
2,128,2,32kB,8,True,1MB,0.576012,178,1361.2,True
2,128,2,32kB,8,True,2MB,0.627309,179,2385.2,False
2,128,2,64kB,2,True,512kB,0.532892,180,879.6,True
2,128,2,64kB,2,True,1MB,0.579802,181,1391.6,True
2,128,2,64kB,2,True,2MB,0.627299,182,2415.6,False
2,128,2,64kB,4,True,512kB,0.53234,183,881.2,True
2,128,2,64kB,4,True,1MB,0.578976,184,1393.2,True
2,128,2,64kB,4,True,2MB,0.627371,185,2417.2,False
2,128,2,64kB,8,True,512kB,0.531405,186,884.4,True
2,128,2,64kB,8,True,1MB,0.577994,187,1396.4,True
2,128,2,64kB,8,True,2MB,0.627355,188,2420.4,False
2,128,4,16kB,2,True,512kB,0.564946,189,840.4,True
2,128,4,16kB,2,True,1MB,0.592047,190,1352.4,True
2,128,4,16kB,2,True,2MB,0.634504,191,2376.4,False
2,128,4,16kB,4,True,512kB,0.564823,192,840.8,True
2,128,4,16kB,4,True,1MB,0.592027,193,1352.8,True
2,128,4,16kB,4,True,2MB,0.634537,194,2376.8,False
2,128,4,16kB,8,True,512kB,0.564775,195,841.6,True
2,128,4,16kB,8,True,1MB,0.591888,196,1353.6,True
2,128,4,16kB,8,True,2MB,0.634537,197,2377.6,False
2,128,4,32kB,2,True,512kB,0.566043,198,856.8,True
2,128,4,32kB,2,True,1MB,0.592901,199,1368.8,True
2,128,4,32kB,2,True,2MB,0.634504,200,2392.8,False
2,128,4,32kB,4,True,512kB,0.565761,201,857.6,True
2,128,4,32kB,4,True,1MB,0.592673,202,1369.6,True
2,128,4,32kB,4,True,2MB,0.634504,203,2393.6,False
2,128,4,32kB,8,True,512kB,0.565605,204,859.2,True
2,128,4,32kB,8,True,1MB,0.592635,205,1371.2,True
2,128,4,32kB,8,True,2MB,0.634504,206,2395.2,False
2,128,4,64kB,2,True,512kB,0.568491,207,889.6,True
2,128,4,64kB,2,True,1MB,0.594877,208,1401.6,True
2,128,4,64kB,2,True,2MB,0.634635,209,2425.6,False
2,128,4,64kB,4,True,512kB,0.56809,210,891.2,True
2,128,4,64kB,4,True,1MB,0.594789,211,1403.2,True
2,128,4,64kB,4,True,2MB,0.634632,212,2427.2,False
2,128,4,64kB,8,True,512kB,0.567649,213,894.4,True
2,128,4,64kB,8,True,1MB,0.594194,214,1406.4,True
2,128,4,64kB,8,True,2MB,0.634637,215,2430.4,False
