core_type,issue_width,rob_size,l1d_mshrs,l1d_size,l1d_assoc,l2_size,ipc_compute,config_id,cost,is_feasible,ipc_latency,ipc_concurrency
DerivO3CPU,2,32,8,32kB,2,1MB,0.886964,64,1244.8,True,0.530371,0.588446
DerivO3CPU,2,32,8,32kB,2,2MB,0.886964,65,2268.8,False,0.599683,0.628508
DerivO3CPU,2,32,8,32kB,4,512kB,0.886964,66,733.6,True,0.474667,0.569419
DerivO3CPU,2,32,8,32kB,4,1MB,0.886964,67,1245.6,True,0.530303,0.588258
DerivO3CPU,2,32,8,32kB,4,2MB,0.886964,68,2269.6,False,0.599683,0.628508
DerivO3CPU,2,32,8,32kB,8,512kB,0.886964,69,735.2,True,0.474635,0.569363
DerivO3CPU,2,32,8,32kB,8,1MB,0.886964,70,1247.2,True,0.530311,0.588088
DerivO3CPU,2,32,8,32kB,8,2MB,0.886964,71,2271.2,False,0.599683,0.628508
DerivO3CPU,2,32,8,64kB,2,512kB,0.8871,72,765.6,True,0.47595,0.571612
DerivO3CPU,2,32,8,64kB,2,1MB,0.8871,73,1277.6,True,0.531821,0.589691
DerivO3CPU,2,32,8,64kB,2,2MB,0.8871,74,2301.6,False,0.599889,0.628533
DerivO3CPU,2,32,8,64kB,4,512kB,0.8871,75,767.2,True,0.475819,0.571794
DerivO3CPU,2,32,8,64kB,4,1MB,0.8871,76,1279.2,True,0.531705,0.58965
DerivO3CPU,2,32,8,64kB,4,2MB,0.8871,77,2303.2,False,0.599885,0.628533
DerivO3CPU,2,32,8,64kB,8,512kB,0.8871,78,770.4,True,0.475545,0.57131
DerivO3CPU,2,32,8,64kB,8,1MB,0.8871,79,1282.4,True,0.531661,0.589143
DerivO3CPU,2,32,8,64kB,8,2MB,0.8871,80,2306.4,False,0.599882,0.628533
DerivO3CPU,2,64,2,16kB,2,512kB,0.880377,81,734.4,True,0.475104,0.525437
DerivO3CPU,2,64,2,16kB,2,1MB,0.880377,82,1246.4,True,0.531659,0.571991
DerivO3CPU,2,64,2,16kB,2,2MB,0.880377,83,2270.4,False,0.602079,0.623587
DerivO3CPU,2,64,2,16kB,4,512kB,0.880377,84,734.8,True,0.475104,0.525162
DerivO3CPU,2,64,2,16kB,4,1MB,0.880377,85,1246.8,True,0.531699,0.57164
DerivO3CPU,2,64,2,16kB,4,2MB,0.880377,86,2270.8,False,0.602079,0.623587
DerivO3CPU,2,64,2,16kB,8,512kB,0.880377,87,735.6,True,0.47503,0.525145
DerivO3CPU,2,64,2,16kB,8,1MB,0.880377,88,1247.6,True,0.531699,0.57155
DerivO3CPU,2,64,2,16kB,8,2MB,0.880377,89,2271.6,False,0.602079,0.623587
DerivO3CPU,2,64,2,32kB,2,512kB,0.880377,90,750.8,True,0.475963,0.527406
DerivO3CPU,2,64,2,32kB,2,1MB,0.880377,91,1262.8,True,0.532449,0.574106
DerivO3CPU,2,64,2,32kB,2,2MB,0.880377,92,2286.8,False,0.602082,0.623587
DerivO3CPU,2,64,2,32kB,4,512kB,0.880377,93,751.6,True,0.47613,0.527109
DerivO3CPU,2,64,2,32kB,4,1MB,0.880377,94,1263.6,True,0.53258,0.573646
DerivO3CPU,2,64,2,32kB,4,2MB,0.880377,95,2287.6,False,0.602079,0.623587
DerivO3CPU,2,64,2,32kB,8,512kB,0.880377,96,753.2,True,0.475963,0.526347
DerivO3CPU,2,64,2,32kB,8,1MB,0.880377,97,1265.2,True,0.532374,0.573037
DerivO3CPU,2,64,2,32kB,8,2MB,0.880377,98,2289.2,False,0.602079,0.623587
DerivO3CPU,2,64,2,64kB,2,512kB,0.880482,99,783.6,True,0.477388,0.529982
DerivO3CPU,2,64,2,64kB,2,1MB,0.880482,100,1295.6,True,0.533799,0.576565
DerivO3CPU,2,64,2,64kB,2,2MB,0.880482,101,2319.6,False,0.602157,0.623587
DerivO3CPU,2,64,2,64kB,4,512kB,0.880482,102,785.2,True,0.477238,0.529518
DerivO3CPU,2,64,2,64kB,4,1MB,0.880482,103,1297.2,True,0.533584,0.575897
DerivO3CPU,2,64,2,64kB,4,2MB,0.880482,104,2321.2,False,0.602155,0.623587
DerivO3CPU,2,64,2,64kB,8,512kB,0.880482,105,788.4,True,0.477054,0.528469
DerivO3CPU,2,64,2,64kB,8,1MB,0.880482,106,1300.4,True,0.533597,0.574822
DerivO3CPU,2,64,2,64kB,8,2MB,0.880482,107,2324.4,False,0.602136,0.623651
DerivO3CPU,2,64,4,16kB,2,512kB,0.880453,108,744.4,True,0.475139,0.56164
DerivO3CPU,2,64,4,16kB,2,1MB,0.880453,109,1256.4,True,0.531717,0.589346
DerivO3CPU,2,64,4,16kB,2,2MB,0.880453,110,2280.4,False,0.60211,0.630736
DerivO3CPU,2,64,4,16kB,4,512kB,0.880501,111,744.8,True,0.475139,0.561557
DerivO3CPU,2,64,4,16kB,4,1MB,0.880501,112,1256.8,True,0.531758,0.589339
DerivO3CPU,2,64,4,16kB,4,2MB,0.880501,113,2280.8,False,0.60211,0.630736
DerivO3CPU,2,64,4,16kB,8,512kB,0.880501,114,745.6,True,0.475065,0.56154
DerivO3CPU,2,64,4,16kB,8,1MB,0.880501,115,1257.6,True,0.531758,0.589371
DerivO3CPU,2,64,4,16kB,8,2MB,0.880501,116,2281.6,False,0.60211,0.630735
DerivO3CPU,2,64,4,32kB,2,512kB,0.880501,117,760.8,True,0.476025,0.563473
DerivO3CPU,2,64,4,32kB,2,1MB,0.880501,118,1272.8,True,0.532485,0.590753
DerivO3CPU,2,64,4,32kB,2,2MB,0.880501,119,2296.8,False,0.602112,0.630736
DerivO3CPU,2,64,4,32kB,4,512kB,0.8805,120,761.6,True,0.476167,0.563128
DerivO3CPU,2,64,4,32kB,4,1MB,0.8805,121,1273.6,True,0.532645,0.590618
DerivO3CPU,2,64,4,32kB,4,2MB,0.8805,122,2297.6,False,0.60211,0.630709
DerivO3CPU,2,64,4,32kB,8,512kB,0.880501,123,763.2,True,0.476025,0.562935
DerivO3CPU,2,64,4,32kB,8,1MB,0.880501,124,1275.2,True,0.532439,0.590608
DerivO3CPU,2,64,4,32kB,8,2MB,0.880501,125,2299.2,False,0.60211,0.630734
DerivO3CPU,2,64,4,64kB,2,512kB,0.880558,126,793.6,True,0.477416,0.565257
DerivO3CPU,2,64,4,64kB,2,1MB,0.880558,127,1305.6,True,0.533858,0.592136
DerivO3CPU,2,64,4,64kB,2,2MB,0.880558,128,2329.6,False,0.602188,0.630736
DerivO3CPU,2,64,4,64kB,4,512kB,0.880558,129,795.2,True,0.47726,0.565116
DerivO3CPU,2,64,4,64kB,4,1MB,0.880558,130,1307.2,True,0.533643,0.591886
DerivO3CPU,2,64,4,64kB,4,2MB,0.880558,131,2331.2,False,0.602185,0.630736
DerivO3CPU,2,64,4,64kB,8,512kB,0.880558,132,798.4,True,0.477094,0.56451
DerivO3CPU,2,64,4,64kB,8,1MB,0.880558,133,1310.4,True,0.533656,0.591576
DerivO3CPU,2,64,4,64kB,8,2MB,0.880558,134,2334.4,False,0.602166,0.630758
DerivO3CPU,2,64,8,16kB,2,512kB,0.880453,135,764.4,True,0.475139,0.570093
DerivO3CPU,2,64,8,16kB,2,1MB,0.880453,136,1276.4,True,0.531717,0.589435
DerivO3CPU,2,64,8,16kB,2,2MB,0.880453,137,2300.4,False,0.60211,0.631168
DerivO3CPU,2,64,8,16kB,4,512kB,0.880501,138,764.8,True,0.475139,0.570331
DerivO3CPU,2,64,8,16kB,4,1MB,0.880501,139,1276.8,True,0.531758,0.589399
DerivO3CPU,2,64,8,16kB,4,2MB,0.880501,140,2300.8,False,0.60211,0.631168
DerivO3CPU,2,64,8,16kB,8,512kB,0.880501,141,765.6,True,0.475065,0.57019
DerivO3CPU,2,64,8,16kB,8,1MB,0.880501,142,1277.6,True,0.531758,0.58947
DerivO3CPU,2,64,8,16kB,8,2MB,0.880501,143,2301.6,False,0.60211,0.631168
DerivO3CPU,2,64,8,32kB,2,512kB,0.880501,144,780.8,True,0.476025,0.57159
DerivO3CPU,2,64,8,32kB,2,1MB,0.880501,145,1292.8,True,0.532485,0.590847
DerivO3CPU,2,64,8,32kB,2,2MB,0.880501,146,2316.8,False,0.602112,0.631168
DerivO3CPU,2,64,8,32kB,4,512kB,0.8805,147,781.6,True,0.476167,0.572816
DerivO3CPU,2,64,8,32kB,4,1MB,0.8805,148,1293.6,True,0.532645,0.590771
