issue_width,rob_size,l1d_mshrs,l1d_size,l1d_assoc,has_l2,l2_size,ipc,config_id,cost,is_feasible
2,64,2,64kB,2,True,512kB,0.477388,99,783.6,True
2,64,2,64kB,2,True,1MB,0.533799,100,1295.6,True
2,64,2,64kB,2,True,2MB,0.602157,101,2319.6,False
2,64,2,64kB,4,True,512kB,0.477238,102,785.2,True
2,64,2,64kB,4,True,1MB,0.533584,103,1297.2,True
2,64,2,64kB,4,True,2MB,0.602155,104,2321.2,False
2,64,2,64kB,8,True,512kB,0.477054,105,788.4,True
2,64,2,64kB,8,True,1MB,0.533597,106,1300.4,True
2,64,2,64kB,8,True,2MB,0.602136,107,2324.4,False
2,64,4,16kB,2,True,512kB,0.475139,108,744.4,True
2,64,4,16kB,2,True,1MB,0.531717,109,1256.4,True
2,64,4,16kB,2,True,2MB,0.60211,110,2280.4,False
2,64,4,16kB,4,True,512kB,0.475139,111,744.8,True
2,64,4,16kB,4,True,1MB,0.531758,112,1256.8,True
2,64,4,16kB,4,True,2MB,0.60211,113,2280.8,False
2,64,4,16kB,8,True,512kB,0.475065,114,745.6,True
2,64,4,16kB,8,True,1MB,0.531758,115,1257.6,True
2,64,4,16kB,8,True,2MB,0.60211,116,2281.6,False
2,64,4,32kB,2,True,512kB,0.476025,117,760.8,True
2,64,4,32kB,2,True,1MB,0.532485,118,1272.8,True
2,64,4,32kB,2,True,2MB,0.602112,119,2296.8,False
2,64,4,32kB,4,True,512kB,0.476167,120,761.6,True
2,64,4,32kB,4,True,1MB,0.532645,121,1273.6,True
2,64,4,32kB,4,True,2MB,0.60211,122,2297.6,False
2,64,4,32kB,8,True,512kB,0.476025,123,763.2,True
2,64,4,32kB,8,True,1MB,0.532439,124,1275.2,True
2,64,4,32kB,8,True,2MB,0.60211,125,2299.2,False
2,64,4,64kB,2,True,512kB,0.477416,126,793.6,True
2,64,4,64kB,2,True,1MB,0.533858,127,1305.6,True
2,64,4,64kB,2,True,2MB,0.602188,128,2329.6,False
2,64,4,64kB,4,True,512kB,0.47726,129,795.2,True
2,64,4,64kB,4,True,1MB,0.533643,130,1307.2,True
2,64,4,64kB,4,True,2MB,0.602185,131,2331.2,False
2,64,4,64kB,8,True,512kB,0.477094,132,798.4,True
2,64,4,64kB,8,True,1MB,0.533656,133,1310.4,True
2,64,4,64kB,8,True,2MB,0.602166,134,2334.4,False
2,64,8,16kB,2,True,512kB,0.475139,135,764.4,True
2,64,8,16kB,2,True,1MB,0.531717,136,1276.4,True
2,64,8,16kB,2,True,2MB,0.60211,137,2300.4,False
2,64,8,16kB,4,True,512kB,0.475139,138,764.8,True
2,64,8,16kB,4,True,1MB,0.531758,139,1276.8,True
2,64,8,16kB,4,True,2MB,0.60211,140,2300.8,False
2,64,8,16kB,8,True,512kB,0.475065,141,765.6,True
2,64,8,16kB,8,True,1MB,0.531758,142,1277.6,True
2,64,8,16kB,8,True,2MB,0.60211,143,2301.6,False
2,64,8,32kB,2,True,512kB,0.476025,144,780.8,True
2,64,8,32kB,2,True,1MB,0.532485,145,1292.8,True
2,64,8,32kB,2,True,2MB,0.602112,146,2316.8,False
2,64,8,32kB,4,True,512kB,0.476167,147,781.6,True
2,64,8,32kB,4,True,1MB,0.532645,148,1293.6,True
2,64,8,32kB,4,True,2MB,0.60211,149,2317.6,False
2,64,8,32kB,8,True,512kB,0.476025,150,783.2,True
2,64,8,32kB,8,True,1MB,0.532439,151,1295.2,True
2,64,8,32kB,8,True,2MB,0.60211,152,2319.2,False
2,64,8,64kB,2,True,512kB,0.477416,153,813.6,True
2,64,8,64kB,2,True,1MB,0.533858,154,1325.6,True
2,64,8,64kB,2,True,2MB,0.602188,155,2349.6,False
2,64,8,64kB,4,True,512kB,0.47726,156,815.2,True
2,64,8,64kB,4,True,1MB,0.533643,157,1327.2,True
2,64,8,64kB,4,True,2MB,0.602185,158,2351.2,False
2,64,8,64kB,8,True,512kB,0.477094,159,818.4,True
2,64,8,64kB,8,True,1MB,0.533656,160,1330.4,True
2,64,8,64kB,8,True,2MB,0.602166,161,2354.4,False
2,128,2,16kB,2,True,512kB,0.477299,162,830.4,True
2,128,2,16kB,2,True,1MB,0.534106,163,1342.4,True
2,128,2,16kB,2,True,2MB,0.60562,164,2366.4,False
2,128,2,16kB,4,True,512kB,0.477299,165,830.8,True
2,128,2,16kB,4,True,1MB,0.534053,166,1342.8,True
2,128,2,16kB,4,True,2MB,0.60562,167,2366.8,False
2,128,2,16kB,8,True,512kB,0.477266,168,831.6,True
2,128,2,16kB,8,True,1MB,0.534074,169,1343.6,True
2,128,2,16kB,8,True,2MB,0.60562,170,2367.6,False
2,128,2,32kB,2,True,512kB,0.47805,171,846.8,True
2,128,2,32kB,2,True,1MB,0.534754,172,1358.8,True
2,128,2,32kB,2,True,2MB,0.605642,173,2382.8,False
2,128,2,32kB,4,True,512kB,0.4781,174,847.6,True
2,128,2,32kB,4,True,1MB,0.534867,175,1359.6,True
2,128,2,32kB,4,True,2MB,0.605638,176,2383.6,False
2,128,2,32kB,8,True,512kB,0.477923,177,849.2,True
2,128,2,32kB,8,True,1MB,0.534643,178,1361.2,True
2,128,2,32kB,8,True,2MB,0.605638,179,2385.2,False
2,128,2,64kB,2,True,512kB,0.479716,180,879.6,True
2,128,2,64kB,2,True,1MB,0.536518,181,1391.6,True
2,128,2,64kB,2,True,2MB,0.605685,182,2415.6,False
2,128,2,64kB,4,True,512kB,0.479954,183,881.2,True
2,128,2,64kB,4,True,1MB,0.536368,184,1393.2,True
2,128,2,64kB,4,True,2MB,0.605678,185,2417.2,False
2,128,2,64kB,8,True,512kB,0.479563,186,884.4,True
2,128,2,64kB,8,True,1MB,0.536302,187,1396.4,True
2,128,2,64kB,8,True,2MB,0.60569,188,2420.4,False
2,128,4,16kB,2,True,512kB,0.477341,189,840.4,True
2,128,4,16kB,2,True,1MB,0.534277,190,1352.4,True
2,128,4,16kB,2,True,2MB,0.605772,191,2376.4,False
2,128,4,16kB,4,True,512kB,0.477341,192,840.8,True
2,128,4,16kB,4,True,1MB,0.534284,193,1352.8,True
2,128,4,16kB,4,True,2MB,0.605772,194,2376.8,False
2,128,4,16kB,8,True,512kB,0.477301,195,841.6,True
2,128,4,16kB,8,True,1MB,0.534324,196,1353.6,True
2,128,4,16kB,8,True,2MB,0.605772,197,2377.6,False
2,128,4,32kB,2,True,512kB,0.478037,198,856.8,True
2,128,4,32kB,2,True,1MB,0.535422,199,1368.8,True
2,128,4,32kB,2,True,2MB,0.605789,200,2392.8,False
2,128,4,32kB,4,True,512kB,0.478007,201,857.6,True
2,128,4,32kB,4,True,1MB,0.535244,202,1369.6,True
2,128,4,32kB,4,True,2MB,0.605784,203,2393.6,False
2,128,4,32kB,8,True,512kB,0.477921,204,859.2,True
2,128,4,32kB,8,True,1MB,0.535164,205,1371.2,True
