config_id,l1d_size,l1d_assoc,l2_size,l2_assoc,ipc
0,16kB,2,512kB,2,0.498593
1,16kB,2,512kB,4,0.498593
2,16kB,2,512kB,8,0.498593
3,16kB,2,512kB,16,0.498593
4,16kB,2,1MB,2,0.498593
5,16kB,2,1MB,4,0.498593
6,16kB,2,1MB,8,0.498593
7,16kB,2,1MB,16,0.498593
8,16kB,2,2MB,2,0.498593
9,16kB,2,2MB,4,0.498593
10,16kB,2,2MB,8,0.498593
11,16kB,2,2MB,16,0.498593
12,16kB,2,4MB,2,0.498593
13,16kB,2,4MB,4,0.498593
14,16kB,2,4MB,8,0.498593
15,16kB,2,4MB,16,0.498593
16,16kB,4,512kB,2,0.621263
17,16kB,4,512kB,4,0.621263
18,16kB,4,512kB,8,0.621263
19,16kB,4,512kB,16,0.621263
20,16kB,4,1MB,2,0.621263
21,16kB,4,1MB,4,0.621263
22,16kB,4,1MB,8,0.621263
23,16kB,4,1MB,16,0.621263
24,16kB,4,2MB,2,0.621263
25,16kB,4,2MB,4,0.621263
26,16kB,4,2MB,8,0.621263
27,16kB,4,2MB,16,0.621263
28,16kB,4,4MB,2,0.621263
29,16kB,4,4MB,4,0.621263
30,16kB,4,4MB,8,0.621263
31,16kB,4,4MB,16,0.621263
32,16kB,8,512kB,2,0.620971
33,16kB,8,512kB,4,0.620971
34,16kB,8,512kB,8,0.620971
35,16kB,8,512kB,16,0.620971
36,16kB,8,1MB,2,0.620971
37,16kB,8,1MB,4,0.620971
38,16kB,8,1MB,8,0.620971
39,16kB,8,1MB,16,0.620971
40,16kB,8,2MB,2,0.620971
41,16kB,8,2MB,4,0.620971
42,16kB,8,2MB,8,0.620971
43,16kB,8,2MB,16,0.620971
44,16kB,8,4MB,2,0.620971
45,16kB,8,4MB,4,0.620971
46,16kB,8,4MB,8,0.620971
47,16kB,8,4MB,16,0.620971
48,16kB,16,512kB,2,0.620946
49,16kB,16,512kB,4,0.620946
50,16kB,16,512kB,8,0.620946
51,16kB,16,512kB,16,0.620946
52,16kB,16,1MB,2,0.620946
53,16kB,16,1MB,4,0.620946
54,16kB,16,1MB,8,0.620946
55,16kB,16,1MB,16,0.620946
56,16kB,16,2MB,2,0.620946
57,16kB,16,2MB,4,0.620946
58,16kB,16,2MB,8,0.620946
59,16kB,16,2MB,16,0.620946
60,16kB,16,4MB,2,0.620946
61,16kB,16,4MB,4,0.620946
62,16kB,16,4MB,8,0.620946
63,16kB,16,4MB,16,0.620946
64,32kB,2,512kB,2,0.50179
65,32kB,2,512kB,4,0.50179
66,32kB,2,512kB,8,0.50179
67,32kB,2,512kB,16,0.50179
68,32kB,2,1MB,2,0.50179
69,32kB,2,1MB,4,0.50179
70,32kB,2,1MB,8,0.50179
71,32kB,2,1MB,16,0.50179
72,32kB,2,2MB,2,0.50179
73,32kB,2,2MB,4,0.50179
74,32kB,2,2MB,8,0.50179
75,32kB,2,2MB,16,0.50179
76,32kB,2,4MB,2,0.50179
77,32kB,2,4MB,4,0.50179
78,32kB,2,4MB,8,0.50179
79,32kB,2,4MB,16,0.50179
80,32kB,4,512kB,2,0.625831
81,32kB,4,512kB,4,0.625831
82,32kB,4,512kB,8,0.625831
83,32kB,4,512kB,16,0.625831
84,32kB,4,1MB,2,0.625831
85,32kB,4,1MB,4,0.625831
86,32kB,4,1MB,8,0.625831
87,32kB,4,1MB,16,0.625831
88,32kB,4,2MB,2,0.625831
89,32kB,4,2MB,4,0.625831
90,32kB,4,2MB,8,0.625831
91,32kB,4,2MB,16,0.625831
92,32kB,4,4MB,2,0.625831
93,32kB,4,4MB,4,0.625831
94,32kB,4,4MB,8,0.625831
95,32kB,4,4MB,16,0.625831
96,32kB,8,512kB,2,0.625782
97,32kB,8,512kB,4,0.625782
98,32kB,8,512kB,8,0.625782
99,32kB,8,512kB,16,0.625782
100,32kB,8,1MB,2,0.625782
101,32kB,8,1MB,4,0.625782
102,32kB,8,1MB,8,0.625782
103,32kB,8,1MB,16,0.625782
104,32kB,8,2MB,2,0.625782
105,32kB,8,2MB,4,0.625782
106,32kB,8,2MB,8,0.625782
107,32kB,8,2MB,16,0.625782
108,32kB,8,4MB,2,0.625782
109,32kB,8,4MB,4,0.625782
110,32kB,8,4MB,8,0.625782
111,32kB,8,4MB,16,0.625782
112,32kB,16,512kB,2,0.625877
113,32kB,16,512kB,4,0.625877
114,32kB,16,512kB,8,0.625877
115,32kB,16,512kB,16,0.625877
116,32kB,16,1MB,2,0.625877
117,32kB,16,1MB,4,0.625877
118,32kB,16,1MB,8,0.625877
119,32kB,16,1MB,16,0.625877
120,32kB,16,2MB,2,0.625877
121,32kB,16,2MB,4,0.625877
122,32kB,16,2MB,8,0.625877
123,32kB,16,2MB,16,0.625877
124,32kB,16,4MB,2,0.625877
125,32kB,16,4MB,4,0.625877
126,32kB,16,4MB,8,0.625877
127,32kB,16,4MB,16,0.625877
128,64kB,2,512kB,2,0.727058
129,64kB,2,512kB,4,0.727058
130,64kB,2,512kB,8,0.727058
131,64kB,2,512kB,16,0.727058
132,64kB,2,1MB,2,0.727058
133,64kB,2,1MB,4,0.727058
134,64kB,2,1MB,8,0.727058
135,64kB,2,1MB,16,0.727058
136,64kB,2,2MB,2,0.727058
137,64kB,2,2MB,4,0.727058
138,64kB,2,2MB,8,0.727058
139,64kB,2,2MB,16,0.727058
140,64kB,2,4MB,2,0.727058
141,64kB,2,4MB,4,0.727058
142,64kB,2,4MB,8,0.727058
143,64kB,2,4MB,16,0.727058
144,64kB,4,512kB,2,0.727058
145,64kB,4,512kB,4,0.727058
146,64kB,4,512kB,8,0.727058
147,64kB,4,512kB,16,0.727058
148,64kB,4,1MB,2,0.727058
149,64kB,4,1MB,4,0.727058
150,64kB,4,1MB,8,0.727058
151,64kB,4,1MB,16,0.727058
152,64kB,4,2MB,2,0.727058
153,64kB,4,2MB,4,0.727058
154,64kB,4,2MB,8,0.727058
155,64kB,4,2MB,16,0.727058
156,64kB,4,4MB,2,0.727058
157,64kB,4,4MB,4,0.727058
158,64kB,4,4MB,8,0.727058
159,64kB,4,4MB,16,0.727058
160,64kB,8,512kB,2,0.727058
161,64kB,8,512kB,4,0.727058
162,64kB,8,512kB,8,0.727058
163,64kB,8,512kB,16,0.727058
164,64kB,8,1MB,2,0.727058
165,64kB,8,1MB,4,0.727058
166,64kB,8,1MB,8,0.727058
167,64kB,8,1MB,16,0.727058
168,64kB,8,2MB,2,0.727058
169,64kB,8,2MB,4,0.727058
170,64kB,8,2MB,8,0.727058
171,64kB,8,2MB,16,0.727058
172,64kB,8,4MB,2,0.727058
173,64kB,8,4MB,4,0.727058
174,64kB,8,4MB,8,0.727058
175,64kB,8,4MB,16,0.727058
176,64kB,16,512kB,2,0.727058
177,64kB,16,512kB,4,0.727058
178,64kB,16,512kB,8,0.727058
179,64kB,16,512kB,16,0.727058
180,64kB,16,1MB,2,0.727058
181,64kB,16,1MB,4,0.727058
182,64kB,16,1MB,8,0.727058
183,64kB,16,1MB,16,0.727058
184,64kB,16,2MB,2,0.727058
185,64kB,16,2MB,4,0.727058
186,64kB,16,2MB,8,0.727058
187,64kB,16,2MB,16,0.727058
188,64kB,16,4MB,2,0.727058
189,64kB,16,4MB,4,0.727058
190,64kB,16,4MB,8,0.727058
191,64kB,16,4MB,16,0.727058
192,128kB,2,512kB,2,0.727397
193,128kB,2,512kB,4,0.727397
194,128kB,2,512kB,8,0.727397
195,128kB,2,512kB,16,0.727397
196,128kB,2,1MB,2,0.727397
197,128kB,2,1MB,4,0.727397
198,128kB,2,1MB,8,0.727397
199,128kB,2,1MB,16,0.727397
200,128kB,2,2MB,2,0.727397
201,128kB,2,2MB,4,0.727397
202,128kB,2,2MB,8,0.727397
203,128kB,2,2MB,16,0.727397
204,128kB,2,4MB,2,0.727397
205,128kB,2,4MB,4,0.727397
206,128kB,2,4MB,8,0.727397
207,128kB,2,4MB,16,0.727397
208,128kB,4,512kB,2,0.727554
209,128kB,4,512kB,4,0.727554
210,128kB,4,512kB,8,0.727554
211,128kB,4,512kB,16,0.727554
212,128kB,4,1MB,2,0.727554
213,128kB,4,1MB,4,0.727554
214,128kB,4,1MB,8,0.727554
215,128kB,4,1MB,16,0.727554
216,128kB,4,2MB,2,0.727554
217,128kB,4,2MB,4,0.727554
218,128kB,4,2MB,8,0.727554
219,128kB,4,2MB,16,0.727554
220,128kB,4,4MB,2,0.727554
221,128kB,4,4MB,4,0.727554
222,128kB,4,4MB,8,0.727554
223,128kB,4,4MB,16,0.727554
224,128kB,8,512kB,2,0.727554
225,128kB,8,512kB,4,0.727554
226,128kB,8,512kB,8,0.727554
227,128kB,8,512kB,16,0.727554
228,128kB,8,1MB,2,0.727554
229,128kB,8,1MB,4,0.727554
230,128kB,8,1MB,8,0.727554
231,128kB,8,1MB,16,0.727554
232,128kB,8,2MB,2,0.727554
233,128kB,8,2MB,4,0.727554
234,128kB,8,2MB,8,0.727554
235,128kB,8,2MB,16,0.727554
236,128kB,8,4MB,2,0.727554
237,128kB,8,4MB,4,0.727554
238,128kB,8,4MB,8,0.727554
239,128kB,8,4MB,16,0.727554
240,128kB,16,512kB,2,0.727554
241,128kB,16,512kB,4,0.727554
242,128kB,16,512kB,8,0.727554
243,128kB,16,512kB,16,0.727554
244,128kB,16,1MB,2,0.727554
245,128kB,16,1MB,4,0.727554
246,128kB,16,1MB,8,0.727554
247,128kB,16,1MB,16,0.727554
248,128kB,16,2MB,2,0.727554
249,128kB,16,2MB,4,0.727554
250,128kB,16,2MB,8,0.727554
251,128kB,16,2MB,16,0.727554
252,128kB,16,4MB,2,0.727554
253,128kB,16,4MB,4,0.727554
254,128kB,16,4MB,8,0.727554
255,128kB,16,4MB,16,0.727554
