config_id,l1d_size,l1d_assoc,l2_size,l2_assoc,ipc
145,64kB,4,512kB,4,0.486437
146,64kB,4,512kB,8,0.486472
147,64kB,4,512kB,16,0.488431
148,64kB,4,1MB,2,0.554549
149,64kB,4,1MB,4,0.554254
150,64kB,4,1MB,8,0.554364
151,64kB,4,1MB,16,0.554316
152,64kB,4,2MB,2,0.641344
153,64kB,4,2MB,4,0.641487
154,64kB,4,2MB,8,0.641487
155,64kB,4,2MB,16,0.641487
156,64kB,4,4MB,2,0.641487
157,64kB,4,4MB,4,0.641487
158,64kB,4,4MB,8,0.641487
159,64kB,4,4MB,16,0.641487
160,64kB,8,512kB,2,0.485884
161,64kB,8,512kB,4,0.486232
162,64kB,8,512kB,8,0.486354
163,64kB,8,512kB,16,0.48824
164,64kB,8,1MB,2,0.554216
165,64kB,8,1MB,4,0.553995
166,64kB,8,1MB,8,0.554242
167,64kB,8,1MB,16,0.55421
168,64kB,8,2MB,2,0.641342
169,64kB,8,2MB,4,0.641485
170,64kB,8,2MB,8,0.641485
171,64kB,8,2MB,16,0.641485
172,64kB,8,4MB,2,0.641485
173,64kB,8,4MB,4,0.641485
174,64kB,8,4MB,8,0.641485
175,64kB,8,4MB,16,0.641485
176,64kB,16,512kB,2,0.485969
177,64kB,16,512kB,4,0.486097
178,64kB,16,512kB,8,0.48621
179,64kB,16,512kB,16,0.488051
180,64kB,16,1MB,2,0.554102
181,64kB,16,1MB,4,0.553862
182,64kB,16,1MB,8,0.554156
183,64kB,16,1MB,16,0.55421
184,64kB,16,2MB,2,0.64133
185,64kB,16,2MB,4,0.641472
186,64kB,16,2MB,8,0.641472
187,64kB,16,2MB,16,0.641472
188,64kB,16,4MB,2,0.641472
189,64kB,16,4MB,4,0.641472
190,64kB,16,4MB,8,0.641472
191,64kB,16,4MB,16,0.641472
192,128kB,2,512kB,2,0.490592
193,128kB,2,512kB,4,0.491796
194,128kB,2,512kB,8,0.496454
195,128kB,2,512kB,16,0.49671
196,128kB,2,1MB,2,0.559469
197,128kB,2,1MB,4,0.559515
198,128kB,2,1MB,8,0.560348
199,128kB,2,1MB,16,0.568349
200,128kB,2,2MB,2,0.641596
201,128kB,2,2MB,4,0.641739
202,128kB,2,2MB,8,0.641739
203,128kB,2,2MB,16,0.641739
204,128kB,2,4MB,2,0.641739
205,128kB,2,4MB,4,0.641739
206,128kB,2,4MB,8,0.641739
207,128kB,2,4MB,16,0.641739
208,128kB,4,512kB,2,0.490248
209,128kB,4,512kB,4,0.48995
210,128kB,4,512kB,8,0.494556
211,128kB,4,512kB,16,0.496503
212,128kB,4,1MB,2,0.558448
213,128kB,4,1MB,4,0.558735
214,128kB,4,1MB,8,0.557773
215,128kB,4,1MB,16,0.564337
216,128kB,4,2MB,2,0.641548
217,128kB,4,2MB,4,0.641691
218,128kB,4,2MB,8,0.641691
219,128kB,4,2MB,16,0.641691
220,128kB,4,4MB,2,0.641691
221,128kB,4,4MB,4,0.641691
222,128kB,4,4MB,8,0.641691
223,128kB,4,4MB,16,0.641691
224,128kB,8,512kB,2,0.489935
225,128kB,8,512kB,4,0.489606
226,128kB,8,512kB,8,0.494052
227,128kB,8,512kB,16,0.494524
228,128kB,8,1MB,2,0.558219
229,128kB,8,1MB,4,0.558514
230,128kB,8,1MB,8,0.557501
231,128kB,8,1MB,16,0.564097
232,128kB,8,2MB,2,0.641536
233,128kB,8,2MB,4,0.641679
234,128kB,8,2MB,8,0.641679
235,128kB,8,2MB,16,0.641679
236,128kB,8,4MB,2,0.641679
237,128kB,8,4MB,4,0.641679
238,128kB,8,4MB,8,0.641679
239,128kB,8,4MB,16,0.641679
240,128kB,16,512kB,2,0.489797
241,128kB,16,512kB,4,0.489658
242,128kB,16,512kB,8,0.49372
243,128kB,16,512kB,16,0.494322
