config_id,l1d_size,l1d_assoc,l2_size,l2_assoc,ipc
145,64kB,4,512kB,4,0.161835
146,64kB,4,512kB,8,0.161835
147,64kB,4,512kB,16,0.161835
148,64kB,4,1MB,2,0.161835
149,64kB,4,1MB,4,0.161835
150,64kB,4,1MB,8,0.161835
151,64kB,4,1MB,16,0.161835
152,64kB,4,2MB,2,0.161835
153,64kB,4,2MB,4,0.161835
154,64kB,4,2MB,8,0.161835
155,64kB,4,2MB,16,0.161835
156,64kB,4,4MB,2,0.161835
157,64kB,4,4MB,4,0.161835
158,64kB,4,4MB,8,0.161835
159,64kB,4,4MB,16,0.161835
160,64kB,8,512kB,2,0.16675
161,64kB,8,512kB,4,0.16675
162,64kB,8,512kB,8,0.16675
163,64kB,8,512kB,16,0.16675
164,64kB,8,1MB,2,0.16675
165,64kB,8,1MB,4,0.16675
166,64kB,8,1MB,8,0.16675
167,64kB,8,1MB,16,0.16675
168,64kB,8,2MB,2,0.16675
169,64kB,8,2MB,4,0.16675
170,64kB,8,2MB,8,0.16675
171,64kB,8,2MB,16,0.16675
172,64kB,8,4MB,2,0.16675
173,64kB,8,4MB,4,0.16675
174,64kB,8,4MB,8,0.16675
175,64kB,8,4MB,16,0.16675
176,64kB,16,512kB,2,0.588312
177,64kB,16,512kB,4,0.588312
178,64kB,16,512kB,8,0.588312
179,64kB,16,512kB,16,0.588312
180,64kB,16,1MB,2,0.588312
181,64kB,16,1MB,4,0.588312
182,64kB,16,1MB,8,0.588312
183,64kB,16,1MB,16,0.588312
184,64kB,16,2MB,2,0.588312
185,64kB,16,2MB,4,0.588312
186,64kB,16,2MB,8,0.588312
187,64kB,16,2MB,16,0.588312
188,64kB,16,4MB,2,0.588312
189,64kB,16,4MB,4,0.588312
190,64kB,16,4MB,8,0.588312
191,64kB,16,4MB,16,0.588312
192,128kB,2,512kB,2,0.161721
193,128kB,2,512kB,4,0.161721
194,128kB,2,512kB,8,0.161721
195,128kB,2,512kB,16,0.161721
196,128kB,2,1MB,2,0.161721
197,128kB,2,1MB,4,0.161721
198,128kB,2,1MB,8,0.161721
199,128kB,2,1MB,16,0.161721
200,128kB,2,2MB,2,0.161721
201,128kB,2,2MB,4,0.161721
202,128kB,2,2MB,8,0.161721
203,128kB,2,2MB,16,0.161721
204,128kB,2,4MB,2,0.161721
205,128kB,2,4MB,4,0.161721
206,128kB,2,4MB,8,0.161721
207,128kB,2,4MB,16,0.161721
208,128kB,4,512kB,2,0.161835
209,128kB,4,512kB,4,0.161835
210,128kB,4,512kB,8,0.161835
211,128kB,4,512kB,16,0.161835
212,128kB,4,1MB,2,0.161835
213,128kB,4,1MB,4,0.161835
214,128kB,4,1MB,8,0.161835
215,128kB,4,1MB,16,0.161835
216,128kB,4,2MB,2,0.161835
217,128kB,4,2MB,4,0.161835
218,128kB,4,2MB,8,0.161835
219,128kB,4,2MB,16,0.161835
220,128kB,4,4MB,2,0.161835
221,128kB,4,4MB,4,0.161835
222,128kB,4,4MB,8,0.161835
223,128kB,4,4MB,16,0.161835
224,128kB,8,512kB,2,0.16675
225,128kB,8,512kB,4,0.16675
226,128kB,8,512kB,8,0.16675
227,128kB,8,512kB,16,0.16675
228,128kB,8,1MB,2,0.16675
229,128kB,8,1MB,4,0.16675
230,128kB,8,1MB,8,0.16675
231,128kB,8,1MB,16,0.16675
232,128kB,8,2MB,2,0.16675
233,128kB,8,2MB,4,0.16675
234,128kB,8,2MB,8,0.16675
235,128kB,8,2MB,16,0.16675
236,128kB,8,4MB,2,0.16675
237,128kB,8,4MB,4,0.16675
238,128kB,8,4MB,8,0.16675
239,128kB,8,4MB,16,0.16675
240,128kB,16,512kB,2,0.588312
241,128kB,16,512kB,4,0.588312
242,128kB,16,512kB,8,0.588312
243,128kB,16,512kB,16,0.588312
244,128kB,16,1MB,2,0.588312
245,128kB,16,1MB,4,0.588312
246,128kB,16,1MB,8,0.588312
247,128kB,16,1MB,16,0.588312
248,128kB,16,2MB,2,0.588312
249,128kB,16,2MB,4,0.588312
250,128kB,16,2MB,8,0.588312
251,128kB,16,2MB,16,0.588312
252,128kB,16,4MB,2,0.588312
253,128kB,16,4MB,4,0.588312
254,128kB,16,4MB,8,0.588312
255,128kB,16,4MB,16,0.588312
