config_id,issue_width,rob_size,l1d_mshrs,l1d_size,l1d_assoc,l2_size,ipc
137,2,64,8,16kB,2,2MB,0.631168
138,2,64,8,16kB,4,512kB,0.570331
139,2,64,8,16kB,4,1MB,0.589399
140,2,64,8,16kB,4,2MB,0.631168
141,2,64,8,16kB,8,512kB,0.57019
142,2,64,8,16kB,8,1MB,0.58947
143,2,64,8,16kB,8,2MB,0.631168
144,2,64,8,32kB,2,512kB,0.57159
145,2,64,8,32kB,2,1MB,0.590847
146,2,64,8,32kB,2,2MB,0.631168
147,2,64,8,32kB,4,512kB,0.572816
148,2,64,8,32kB,4,1MB,0.590771
149,2,64,8,32kB,4,2MB,0.631168
150,2,64,8,32kB,8,512kB,0.571991
151,2,64,8,32kB,8,1MB,0.590657
152,2,64,8,32kB,8,2MB,0.631168
153,2,64,8,64kB,2,512kB,0.573542
154,2,64,8,64kB,2,1MB,0.592156
155,2,64,8,64kB,2,2MB,0.631168
156,2,64,8,64kB,4,512kB,0.574678
157,2,64,8,64kB,4,1MB,0.592076
158,2,64,8,64kB,4,2MB,0.631168
159,2,64,8,64kB,8,512kB,0.573557
160,2,64,8,64kB,8,1MB,0.591691
161,2,64,8,64kB,8,2MB,0.631168
162,2,128,2,16kB,2,512kB,0.528048
163,2,128,2,16kB,2,1MB,0.57509
164,2,128,2,16kB,2,2MB,0.627299
165,2,128,2,16kB,4,512kB,0.527908
166,2,128,2,16kB,4,1MB,0.574877
167,2,128,2,16kB,4,2MB,0.627297
168,2,128,2,16kB,8,512kB,0.527728
169,2,128,2,16kB,8,1MB,0.574738
170,2,128,2,16kB,8,2MB,0.627299
171,2,128,2,32kB,2,512kB,0.529298
172,2,128,2,32kB,2,1MB,0.577282
173,2,128,2,32kB,2,2MB,0.627299
174,2,128,2,32kB,4,512kB,0.528945
175,2,128,2,32kB,4,1MB,0.576384
176,2,128,2,32kB,4,2MB,0.627325
177,2,128,2,32kB,8,512kB,0.528284
178,2,128,2,32kB,8,1MB,0.576012
179,2,128,2,32kB,8,2MB,0.627309
180,2,128,2,64kB,2,512kB,0.532892
181,2,128,2,64kB,2,1MB,0.579802
182,2,128,2,64kB,2,2MB,0.627299
183,2,128,2,64kB,4,512kB,0.53234
184,2,128,2,64kB,4,1MB,0.578976
185,2,128,2,64kB,4,2MB,0.627371
186,2,128,2,64kB,8,512kB,0.531405
187,2,128,2,64kB,8,1MB,0.577994
188,2,128,2,64kB,8,2MB,0.627355
189,2,128,4,16kB,2,512kB,0.564946
190,2,128,4,16kB,2,1MB,0.592047
191,2,128,4,16kB,2,2MB,0.634504
192,2,128,4,16kB,4,512kB,0.564823
193,2,128,4,16kB,4,1MB,0.592027
194,2,128,4,16kB,4,2MB,0.634537
195,2,128,4,16kB,8,512kB,0.564775
196,2,128,4,16kB,8,1MB,0.591888
197,2,128,4,16kB,8,2MB,0.634537
198,2,128,4,32kB,2,512kB,0.566043
199,2,128,4,32kB,2,1MB,0.592901
200,2,128,4,32kB,2,2MB,0.634504
201,2,128,4,32kB,4,512kB,0.565761
202,2,128,4,32kB,4,1MB,0.592673
203,2,128,4,32kB,4,2MB,0.634504
204,2,128,4,32kB,8,512kB,0.565605
205,2,128,4,32kB,8,1MB,0.592635
206,2,128,4,32kB,8,2MB,0.634504
207,2,128,4,64kB,2,512kB,0.568491
208,2,128,4,64kB,2,1MB,0.594877
209,2,128,4,64kB,2,2MB,0.634635
210,2,128,4,64kB,4,512kB,0.56809
211,2,128,4,64kB,4,1MB,0.594789
212,2,128,4,64kB,4,2MB,0.634632
213,2,128,4,64kB,8,512kB,0.567649
214,2,128,4,64kB,8,1MB,0.594194
215,2,128,4,64kB,8,2MB,0.634637
216,2,128,8,16kB,2,512kB,0.57464
217,2,128,8,16kB,2,1MB,0.592211
218,2,128,8,16kB,2,2MB,0.635089
219,2,128,8,16kB,4,512kB,0.574779
220,2,128,8,16kB,4,1MB,0.591959
221,2,128,8,16kB,4,2MB,0.635085
222,2,128,8,16kB,8,512kB,0.573907
223,2,128,8,16kB,8,1MB,0.592434
224,2,128,8,16kB,8,2MB,0.635083
225,2,128,8,32kB,2,512kB,0.575017
226,2,128,8,32kB,2,1MB,0.593046
227,2,128,8,32kB,2,2MB,0.635099
228,2,128,8,32kB,4,512kB,0.575228
229,2,128,8,32kB,4,1MB,0.592569
230,2,128,8,32kB,4,2MB,0.635097
231,2,128,8,32kB,8,512kB,0.575109
232,2,128,8,32kB,8,1MB,0.592642
233,2,128,8,32kB,8,2MB,0.635089
234,2,128,8,64kB,2,512kB,0.577168
235,2,128,8,64kB,2,1MB,0.595153
236,2,128,8,64kB,2,2MB,0.635235
237,2,128,8,64kB,4,512kB,0.57708
238,2,128,8,64kB,4,1MB,0.594849
239,2,128,8,64kB,4,2MB,0.635235
240,2,128,8,64kB,8,512kB,0.577637
241,2,128,8,64kB,8,1MB,0.594486
242,2,128,8,64kB,8,2MB,0.635227
243,4,32,2,16kB,2,512kB,0.529489
244,4,32,2,16kB,2,1MB,0.576542
245,4,32,2,16kB,2,2MB,0.628709
246,4,32,2,16kB,4,512kB,0.529059
247,4,32,2,16kB,4,1MB,0.575987
248,4,32,2,16kB,4,2MB,0.628819
249,4,32,2,16kB,8,512kB,0.528935
250,4,32,2,16kB,8,1MB,0.575927
251,4,32,2,16kB,8,2MB,0.628819
252,4,32,2,32kB,2,512kB,0.531324
253,4,32,2,32kB,2,1MB,0.577974
254,4,32,2,32kB,2,2MB,0.628819
255,4,32,2,32kB,4,512kB,0.530932
256,4,32,2,32kB,4,1MB,0.577527
257,4,32,2,32kB,4,2MB,0.628819
258,4,32,2,32kB,8,512kB,0.53041
259,4,32,2,32kB,8,1MB,0.57709
260,4,32,2,32kB,8,2MB,0.628819
261,4,32,2,64kB,2,512kB,0.534177
262,4,32,2,64kB,2,1MB,0.581188
263,4,32,2,64kB,2,2MB,0.628819
264,4,32,2,64kB,4,512kB,0.533827
265,4,32,2,64kB,4,1MB,0.580519
266,4,32,2,64kB,4,2MB,0.628819
267,4,32,2,64kB,8,512kB,0.53284
268,4,32,2,64kB,8,1MB,0.579716
269,4,32,2,64kB,8,2MB,0.628819
270,4,32,4,16kB,2,512kB,0.565995
271,4,32,4,16kB,2,1MB,0.594094
272,4,32,4,16kB,2,2MB,0.636158
273,4,32,4,16kB,4,512kB,0.565888
274,4,32,4,16kB,4,1MB,0.594086
275,4,32,4,16kB,4,2MB,0.636158
276,4,32,4,16kB,8,512kB,0.565818
277,4,32,4,16kB,8,1MB,0.593825
278,4,32,4,16kB,8,2MB,0.636158
279,4,32,4,32kB,2,512kB,0.567599
280,4,32,4,32kB,2,1MB,0.595083
281,4,32,4,32kB,2,2MB,0.636158
282,4,32,4,32kB,4,512kB,0.567478
283,4,32,4,32kB,4,1MB,0.594802
284,4,32,4,32kB,4,2MB,0.636158
285,4,32,4,32kB,8,512kB,0.567177
286,4,32,4,32kB,8,1MB,0.594894
287,4,32,4,32kB,8,2MB,0.636158
288,4,32,4,64kB,2,512kB,0.570277
289,4,32,4,64kB,2,1MB,0.597389
290,4,32,4,64kB,2,2MB,0.636158
291,4,32,4,64kB,4,512kB,0.570083
292,4,32,4,64kB,4,1MB,0.596941
293,4,32,4,64kB,4,2MB,0.636156
294,4,32,4,64kB,8,512kB,0.569459
295,4,32,4,64kB,8,1MB,0.596724
296,4,32,4,64kB,8,2MB,0.636158
297,4,32,8,16kB,2,512kB,0.57478
298,4,32,8,16kB,2,1MB,0.593996
299,4,32,8,16kB,2,2MB,0.636489
300,4,32,8,16kB,4,512kB,0.574207
301,4,32,8,16kB,4,1MB,0.594037
302,4,32,8,16kB,4,2MB,0.636487
303,4,32,8,16kB,8,512kB,0.574773
304,4,32,8,16kB,8,1MB,0.593978
305,4,32,8,16kB,8,2MB,0.636484
306,4,32,8,32kB,2,512kB,0.57654
307,4,32,8,32kB,2,1MB,0.595143
308,4,32,8,32kB,2,2MB,0.63649
309,4,32,8,32kB,4,512kB,0.576641
310,4,32,8,32kB,4,1MB,0.595013
311,4,32,8,32kB,4,2MB,0.63649
312,4,32,8,32kB,8,512kB,0.57673
313,4,32,8,32kB,8,1MB,0.594804
314,4,32,8,32kB,8,2MB,0.63649
315,4,32,8,64kB,2,512kB,0.580486
316,4,32,8,64kB,2,1MB,0.597248
317,4,32,8,64kB,2,2MB,0.636511
318,4,32,8,64kB,4,512kB,0.578795
319,4,32,8,64kB,4,1MB,0.59716
320,4,32,8,64kB,4,2MB,0.636511
321,4,32,8,64kB,8,512kB,0.578728
322,4,32,8,64kB,8,1MB,0.596722
323,4,32,8,64kB,8,2MB,0.636511
324,4,64,2,16kB,2,512kB,0.531322
325,4,64,2,16kB,2,1MB,0.57857
326,4,64,2,16kB,2,2MB,0.631605
327,4,64,2,16kB,4,512kB,0.531057
328,4,64,2,16kB,4,1MB,0.578329
329,4,64,2,16kB,4,2MB,0.631605
330,4,64,2,16kB,8,512kB,0.531298
331,4,64,2,16kB,8,1MB,0.578732
332,4,64,2,16kB,8,2MB,0.631718
333,4,64,2,32kB,2,512kB,0.533468
334,4,64,2,32kB,2,1MB,0.580605
335,4,64,2,32kB,2,2MB,0.631718
336,4,64,2,32kB,4,512kB,0.53303
337,4,64,2,32kB,4,1MB,0.580324
338,4,64,2,32kB,4,2MB,0.631718
339,4,64,2,32kB,8,512kB,0.532363
340,4,64,2,32kB,8,1MB,0.57977
341,4,64,2,32kB,8,2MB,0.631718
342,4,64,2,64kB,2,512kB,0.535724
343,4,64,2,64kB,2,1MB,0.5834
344,4,64,2,64kB,2,2MB,0.631718
345,4,64,2,64kB,4,512kB,0.535614
346,4,64,2,64kB,4,1MB,0.58286
347,4,64,2,64kB,4,2MB,0.631718
348,4,64,2,64kB,8,512kB,0.534593
349,4,64,2,64kB,8,1MB,0.581753
350,4,64,2,64kB,8,2MB,0.631718
351,4,64,4,16kB,2,512kB,0.568665
352,4,64,4,16kB,2,1MB,0.597156
353,4,64,4,16kB,2,2MB,0.639025
354,4,64,4,16kB,4,512kB,0.568638
355,4,64,4,16kB,4,1MB,0.597051
356,4,64,4,16kB,4,2MB,0.639024
357,4,64,4,16kB,8,512kB,0.56858
358,4,64,4,16kB,8,1MB,0.597091
359,4,64,4,16kB,8,2MB,0.639026
360,4,64,4,32kB,2,512kB,0.570182
361,4,64,4,32kB,2,1MB,0.598036
362,4,64,4,32kB,2,2MB,0.639025
363,4,64,4,32kB,4,512kB,0.569815
364,4,64,4,32kB,4,1MB,0.59774
365,4,64,4,32kB,4,2MB,0.639029
366,4,64,4,32kB,8,512kB,0.569649
367,4,64,4,32kB,8,1MB,0.597686
368,4,64,4,32kB,8,2MB,0.639026
369,4,64,4,64kB,2,512kB,0.572317
370,4,64,4,64kB,2,1MB,0.59979
