config_id,issue_width,rob_size,l1d_mshrs,l1d_size,l1d_assoc,l2_size,ipc
137,2,64,8,16kB,2,2MB,0.60211
138,2,64,8,16kB,4,512kB,0.475139
139,2,64,8,16kB,4,1MB,0.531758
140,2,64,8,16kB,4,2MB,0.60211
141,2,64,8,16kB,8,512kB,0.475065
142,2,64,8,16kB,8,1MB,0.531758
143,2,64,8,16kB,8,2MB,0.60211
144,2,64,8,32kB,2,512kB,0.476025
145,2,64,8,32kB,2,1MB,0.532485
146,2,64,8,32kB,2,2MB,0.602112
147,2,64,8,32kB,4,512kB,0.476167
148,2,64,8,32kB,4,1MB,0.532645
149,2,64,8,32kB,4,2MB,0.60211
150,2,64,8,32kB,8,512kB,0.476025
151,2,64,8,32kB,8,1MB,0.532439
152,2,64,8,32kB,8,2MB,0.60211
153,2,64,8,64kB,2,512kB,0.477416
154,2,64,8,64kB,2,1MB,0.533858
155,2,64,8,64kB,2,2MB,0.602188
156,2,64,8,64kB,4,512kB,0.47726
157,2,64,8,64kB,4,1MB,0.533643
158,2,64,8,64kB,4,2MB,0.602185
159,2,64,8,64kB,8,512kB,0.477094
160,2,64,8,64kB,8,1MB,0.533656
161,2,64,8,64kB,8,2MB,0.602166
162,2,128,2,16kB,2,512kB,0.477299
163,2,128,2,16kB,2,1MB,0.534106
164,2,128,2,16kB,2,2MB,0.60562
165,2,128,2,16kB,4,512kB,0.477299
166,2,128,2,16kB,4,1MB,0.534053
167,2,128,2,16kB,4,2MB,0.60562
168,2,128,2,16kB,8,512kB,0.477266
169,2,128,2,16kB,8,1MB,0.534074
170,2,128,2,16kB,8,2MB,0.60562
171,2,128,2,32kB,2,512kB,0.47805
172,2,128,2,32kB,2,1MB,0.534754
173,2,128,2,32kB,2,2MB,0.605642
174,2,128,2,32kB,4,512kB,0.4781
175,2,128,2,32kB,4,1MB,0.534867
176,2,128,2,32kB,4,2MB,0.605638
177,2,128,2,32kB,8,512kB,0.477923
178,2,128,2,32kB,8,1MB,0.534643
179,2,128,2,32kB,8,2MB,0.605638
180,2,128,2,64kB,2,512kB,0.479716
181,2,128,2,64kB,2,1MB,0.536518
182,2,128,2,64kB,2,2MB,0.605685
183,2,128,2,64kB,4,512kB,0.479954
184,2,128,2,64kB,4,1MB,0.536368
185,2,128,2,64kB,4,2MB,0.605678
186,2,128,2,64kB,8,512kB,0.479563
187,2,128,2,64kB,8,1MB,0.536302
188,2,128,2,64kB,8,2MB,0.60569
189,2,128,4,16kB,2,512kB,0.477341
190,2,128,4,16kB,2,1MB,0.534277
191,2,128,4,16kB,2,2MB,0.605772
192,2,128,4,16kB,4,512kB,0.477341
