core_type,issue_width,rob_size,l1d_mshrs,l1d_size,l1d_assoc,l2_size,ipc,config_id,cost,is_feasible
DerivO3CPU,2,64,2,16kB,2,512kB,0.525437,81,734.4,True
DerivO3CPU,2,64,2,16kB,2,1MB,0.571991,82,1246.4,True
DerivO3CPU,2,64,2,16kB,2,2MB,0.623587,83,2270.4,False
DerivO3CPU,2,64,2,16kB,4,512kB,0.525162,84,734.8,True
DerivO3CPU,2,64,2,16kB,4,1MB,0.57164,85,1246.8,True
DerivO3CPU,2,64,2,16kB,4,2MB,0.623587,86,2270.8,False
DerivO3CPU,2,64,2,16kB,8,512kB,0.525145,87,735.6,True
DerivO3CPU,2,64,2,16kB,8,1MB,0.57155,88,1247.6,True
DerivO3CPU,2,64,2,16kB,8,2MB,0.623587,89,2271.6,False
DerivO3CPU,2,64,2,32kB,2,512kB,0.527406,90,750.8,True
DerivO3CPU,2,64,2,32kB,2,1MB,0.574106,91,1262.8,True
DerivO3CPU,2,64,2,32kB,2,2MB,0.623587,92,2286.8,False
DerivO3CPU,2,64,2,32kB,4,512kB,0.527109,93,751.6,True
DerivO3CPU,2,64,2,32kB,4,1MB,0.573646,94,1263.6,True
DerivO3CPU,2,64,2,32kB,4,2MB,0.623587,95,2287.6,False
DerivO3CPU,2,64,2,32kB,8,512kB,0.526347,96,753.2,True
DerivO3CPU,2,64,2,32kB,8,1MB,0.573037,97,1265.2,True
DerivO3CPU,2,64,2,32kB,8,2MB,0.623587,98,2289.2,False
DerivO3CPU,2,64,2,64kB,2,512kB,0.529982,99,783.6,True
DerivO3CPU,2,64,2,64kB,2,1MB,0.576565,100,1295.6,True
DerivO3CPU,2,64,2,64kB,2,2MB,0.623587,101,2319.6,False
DerivO3CPU,2,64,2,64kB,4,512kB,0.529518,102,785.2,True
DerivO3CPU,2,64,2,64kB,4,1MB,0.575897,103,1297.2,True
DerivO3CPU,2,64,2,64kB,4,2MB,0.623587,104,2321.2,False
DerivO3CPU,2,64,2,64kB,8,512kB,0.528469,105,788.4,True
DerivO3CPU,2,64,2,64kB,8,1MB,0.574822,106,1300.4,True
DerivO3CPU,2,64,2,64kB,8,2MB,0.623651,107,2324.4,False
DerivO3CPU,2,64,4,16kB,2,512kB,0.56164,108,744.4,True
DerivO3CPU,2,64,4,16kB,2,1MB,0.589346,109,1256.4,True
DerivO3CPU,2,64,4,16kB,2,2MB,0.630736,110,2280.4,False
DerivO3CPU,2,64,4,16kB,4,512kB,0.561557,111,744.8,True
DerivO3CPU,2,64,4,16kB,4,1MB,0.589339,112,1256.8,True
DerivO3CPU,2,64,4,16kB,4,2MB,0.630736,113,2280.8,False
DerivO3CPU,2,64,4,16kB,8,512kB,0.56154,114,745.6,True
DerivO3CPU,2,64,4,16kB,8,1MB,0.589371,115,1257.6,True
DerivO3CPU,2,64,4,16kB,8,2MB,0.630735,116,2281.6,False
DerivO3CPU,2,64,4,32kB,2,512kB,0.563473,117,760.8,True
DerivO3CPU,2,64,4,32kB,2,1MB,0.590753,118,1272.8,True
DerivO3CPU,2,64,4,32kB,2,2MB,0.630736,119,2296.8,False
DerivO3CPU,2,64,4,32kB,4,512kB,0.563128,120,761.6,True
DerivO3CPU,2,64,4,32kB,4,1MB,0.590618,121,1273.6,True
DerivO3CPU,2,64,4,32kB,4,2MB,0.630709,122,2297.6,False
DerivO3CPU,2,64,4,32kB,8,512kB,0.562935,123,763.2,True
DerivO3CPU,2,64,4,32kB,8,1MB,0.590608,124,1275.2,True
DerivO3CPU,2,64,4,32kB,8,2MB,0.630734,125,2299.2,False
DerivO3CPU,2,64,4,64kB,2,512kB,0.565257,126,793.6,True
DerivO3CPU,2,64,4,64kB,2,1MB,0.592136,127,1305.6,True
DerivO3CPU,2,64,4,64kB,2,2MB,0.630736,128,2329.6,False
DerivO3CPU,2,64,4,64kB,4,512kB,0.565116,129,795.2,True
DerivO3CPU,2,64,4,64kB,4,1MB,0.591886,130,1307.2,True
DerivO3CPU,2,64,4,64kB,4,2MB,0.630736,131,2331.2,False
DerivO3CPU,2,64,4,64kB,8,512kB,0.56451,132,798.4,True
DerivO3CPU,2,64,4,64kB,8,1MB,0.591576,133,1310.4,True
DerivO3CPU,2,64,4,64kB,8,2MB,0.630758,134,2334.4,False
DerivO3CPU,2,64,8,16kB,2,512kB,0.570093,135,764.4,True
DerivO3CPU,2,64,8,16kB,2,1MB,0.589435,136,1276.4,True
DerivO3CPU,2,64,8,16kB,2,2MB,0.631168,137,2300.4,False
DerivO3CPU,2,64,8,16kB,4,512kB,0.570331,138,764.8,True
DerivO3CPU,2,64,8,16kB,4,1MB,0.589399,139,1276.8,True
DerivO3CPU,2,64,8,16kB,4,2MB,0.631168,140,2300.8,False
DerivO3CPU,2,64,8,16kB,8,512kB,0.57019,141,765.6,True
DerivO3CPU,2,64,8,16kB,8,1MB,0.58947,142,1277.6,True
DerivO3CPU,2,64,8,16kB,8,2MB,0.631168,143,2301.6,False
DerivO3CPU,2,64,8,32kB,2,512kB,0.57159,144,780.8,True
DerivO3CPU,2,64,8,32kB,2,1MB,0.590847,145,1292.8,True
DerivO3CPU,2,64,8,32kB,2,2MB,0.631168,146,2316.8,False
DerivO3CPU,2,64,8,32kB,4,512kB,0.572816,147,781.6,True
DerivO3CPU,2,64,8,32kB,4,1MB,0.590771,148,1293.6,True
DerivO3CPU,2,64,8,32kB,4,2MB,0.631168,149,2317.6,False
DerivO3CPU,2,64,8,32kB,8,512kB,0.571991,150,783.2,True
DerivO3CPU,2,64,8,32kB,8,1MB,0.590657,151,1295.2,True
DerivO3CPU,2,64,8,32kB,8,2MB,0.631168,152,2319.2,False
DerivO3CPU,2,64,8,64kB,2,512kB,0.573542,153,813.6,True
DerivO3CPU,2,64,8,64kB,2,1MB,0.592156,154,1325.6,True
DerivO3CPU,2,64,8,64kB,2,2MB,0.631168,155,2349.6,False
DerivO3CPU,2,64,8,64kB,4,512kB,0.574678,156,815.2,True
DerivO3CPU,2,64,8,64kB,4,1MB,0.592076,157,1327.2,True
DerivO3CPU,2,64,8,64kB,4,2MB,0.631168,158,2351.2,False
DerivO3CPU,2,64,8,64kB,8,512kB,0.573557,159,818.4,True
DerivO3CPU,2,64,8,64kB,8,1MB,0.591691,160,1330.4,True
DerivO3CPU,2,64,8,64kB,8,2MB,0.631168,161,2354.4,False
DerivO3CPU,2,128,2,16kB,2,512kB,0.528048,162,830.4,True
DerivO3CPU,2,128,2,16kB,2,1MB,0.57509,163,1342.4,True
DerivO3CPU,2,128,2,16kB,2,2MB,0.627299,164,2366.4,False
DerivO3CPU,2,128,2,16kB,4,512kB,0.527908,165,830.8,True
DerivO3CPU,2,128,2,16kB,4,1MB,0.574877,166,1342.8,True
DerivO3CPU,2,128,2,16kB,4,2MB,0.627297,167,2366.8,False
DerivO3CPU,2,128,2,16kB,8,512kB,0.527728,168,831.6,True
DerivO3CPU,2,128,2,16kB,8,1MB,0.574738,169,1343.6,True
DerivO3CPU,2,128,2,16kB,8,2MB,0.627299,170,2367.6,False
DerivO3CPU,2,128,2,32kB,2,512kB,0.529298,171,846.8,True
DerivO3CPU,2,128,2,32kB,2,1MB,0.577282,172,1358.8,True
DerivO3CPU,2,128,2,32kB,2,2MB,0.627299,173,2382.8,False
DerivO3CPU,2,128,2,32kB,4,512kB,0.528945,174,847.6,True
DerivO3CPU,2,128,2,32kB,4,1MB,0.576384,175,1359.6,True
DerivO3CPU,2,128,2,32kB,4,2MB,0.627325,176,2383.6,False
DerivO3CPU,2,128,2,32kB,8,512kB,0.528284,177,849.2,True
DerivO3CPU,2,128,2,32kB,8,1MB,0.576012,178,1361.2,True
DerivO3CPU,2,128,2,32kB,8,2MB,0.627309,179,2385.2,False
DerivO3CPU,2,128,2,64kB,2,512kB,0.532892,180,879.6,True
DerivO3CPU,2,128,2,64kB,2,1MB,0.579802,181,1391.6,True
DerivO3CPU,2,128,2,64kB,2,2MB,0.627299,182,2415.6,False
DerivO3CPU,2,128,2,64kB,4,512kB,0.53234,183,881.2,True
DerivO3CPU,2,128,2,64kB,4,1MB,0.578976,184,1393.2,True
DerivO3CPU,2,128,2,64kB,4,2MB,0.627371,185,2417.2,False
DerivO3CPU,2,128,2,64kB,8,512kB,0.531405,186,884.4,True
DerivO3CPU,2,128,2,64kB,8,1MB,0.577994,187,1396.4,True
DerivO3CPU,2,128,2,64kB,8,2MB,0.627355,188,2420.4,False
DerivO3CPU,2,128,4,16kB,2,512kB,0.564946,189,840.4,True
DerivO3CPU,2,128,4,16kB,2,1MB,0.592047,190,1352.4,True
DerivO3CPU,2,128,4,16kB,2,2MB,0.634504,191,2376.4,False
DerivO3CPU,2,128,4,16kB,4,512kB,0.564823,192,840.8,True
DerivO3CPU,2,128,4,16kB,4,1MB,0.592027,193,1352.8,True
DerivO3CPU,2,128,4,16kB,4,2MB,0.634537,194,2376.8,False
DerivO3CPU,2,128,4,16kB,8,512kB,0.564775,195,841.6,True
DerivO3CPU,2,128,4,16kB,8,1MB,0.591888,196,1353.6,True
DerivO3CPU,2,128,4,16kB,8,2MB,0.634537,197,2377.6,False
DerivO3CPU,2,128,4,32kB,2,512kB,0.566043,198,856.8,True
DerivO3CPU,2,128,4,32kB,2,1MB,0.592901,199,1368.8,True
DerivO3CPU,2,128,4,32kB,2,2MB,0.634504,200,2392.8,False
DerivO3CPU,2,128,4,32kB,4,512kB,0.565761,201,857.6,True
DerivO3CPU,2,128,4,32kB,4,1MB,0.592673,202,1369.6,True
DerivO3CPU,2,128,4,32kB,4,2MB,0.634504,203,2393.6,False
DerivO3CPU,2,128,4,32kB,8,512kB,0.565605,204,859.2,True
DerivO3CPU,2,128,4,32kB,8,1MB,0.592635,205,1371.2,True
DerivO3CPU,2,128,4,32kB,8,2MB,0.634504,206,2395.2,False
DerivO3CPU,2,128,4,64kB,2,512kB,0.568491,207,889.6,True
DerivO3CPU,2,128,4,64kB,2,1MB,0.594877,208,1401.6,True
DerivO3CPU,2,128,4,64kB,2,2MB,0.634635,209,2425.6,False
DerivO3CPU,2,128,4,64kB,4,512kB,0.56809,210,891.2,True
DerivO3CPU,2,128,4,64kB,4,1MB,0.594789,211,1403.2,True
DerivO3CPU,2,128,4,64kB,4,2MB,0.634632,212,2427.2,False
DerivO3CPU,2,128,4,64kB,8,512kB,0.567649,213,894.4,True
DerivO3CPU,2,128,4,64kB,8,1MB,0.594194,214,1406.4,True
DerivO3CPU,2,128,4,64kB,8,2MB,0.634637,215,2430.4,False
DerivO3CPU,2,128,8,16kB,2,512kB,0.57464,216,860.4,True
DerivO3CPU,2,128,8,16kB,2,1MB,0.592211,217,1372.4,True
DerivO3CPU,2,128,8,16kB,2,2MB,0.635089,218,2396.4,False
DerivO3CPU,2,128,8,16kB,4,512kB,0.574779,219,860.8,True
DerivO3CPU,2,128,8,16kB,4,1MB,0.591959,220,1372.8,True
DerivO3CPU,2,128,8,16kB,4,2MB,0.635085,221,2396.8,False
