config_id,l1d_size,l1d_assoc,l2_size,l2_assoc,ipc
145,64kB,4,512kB,4,0.604892
146,64kB,4,512kB,8,0.604875
147,64kB,4,512kB,16,0.605182
148,64kB,4,1MB,2,0.638358
149,64kB,4,1MB,4,0.638649
150,64kB,4,1MB,8,0.638495
151,64kB,4,1MB,16,0.638365
152,64kB,4,2MB,2,0.674234
153,64kB,4,2MB,4,0.674356
154,64kB,4,2MB,8,0.674356
155,64kB,4,2MB,16,0.674356
156,64kB,4,4MB,2,0.674356
157,64kB,4,4MB,4,0.674356
158,64kB,4,4MB,8,0.674356
159,64kB,4,4MB,16,0.674356
160,64kB,8,512kB,2,0.604775
161,64kB,8,512kB,4,0.604666
162,64kB,8,512kB,8,0.604491
163,64kB,8,512kB,16,0.604875
164,64kB,8,1MB,2,0.638236
165,64kB,8,1MB,4,0.638331
166,64kB,8,1MB,8,0.638331
167,64kB,8,1MB,16,0.638039
168,64kB,8,2MB,2,0.674229
169,64kB,8,2MB,4,0.674351
170,64kB,8,2MB,8,0.674351
171,64kB,8,2MB,16,0.674351
172,64kB,8,4MB,2,0.674351
173,64kB,8,4MB,4,0.674351
174,64kB,8,4MB,8,0.674351
175,64kB,8,4MB,16,0.674351
176,64kB,16,512kB,2,0.604666
177,64kB,16,512kB,4,0.604666
178,64kB,16,512kB,8,0.604666
179,64kB,16,512kB,16,0.604776
180,64kB,16,1MB,2,0.638104
181,64kB,16,1MB,4,0.638331
182,64kB,16,1MB,8,0.638167
183,64kB,16,1MB,16,0.638061
184,64kB,16,2MB,2,0.674215
185,64kB,16,2MB,4,0.674338
186,64kB,16,2MB,8,0.674338
187,64kB,16,2MB,16,0.674338
188,64kB,16,4MB,2,0.674338
189,64kB,16,4MB,4,0.674338
190,64kB,16,4MB,8,0.674338
191,64kB,16,4MB,16,0.674338
192,128kB,2,512kB,2,0.611356
193,128kB,2,512kB,4,0.611279
194,128kB,2,512kB,8,0.611948
195,128kB,2,512kB,16,0.612375
196,128kB,2,1MB,2,0.64453
197,128kB,2,1MB,4,0.644325
198,128kB,2,1MB,8,0.644389
199,128kB,2,1MB,16,0.645523
200,128kB,2,2MB,2,0.674482
201,128kB,2,2MB,4,0.674596
202,128kB,2,2MB,8,0.674596
203,128kB,2,2MB,16,0.674596
204,128kB,2,4MB,2,0.674596
205,128kB,2,4MB,4,0.674596
206,128kB,2,4MB,8,0.674596
207,128kB,2,4MB,16,0.674596
208,128kB,4,512kB,2,0.611017
209,128kB,4,512kB,4,0.610865
210,128kB,4,512kB,8,0.611592
